,period,ticker1,ticker2,cosine_similarity,rho_mean
0,2019Q1,KO,PEP,0.2313076171851018,0.6797280860308127
1,2019Q2,KO,PEP,0.2532592142878771,0.5215865547851217
2,2019Q3,KO,PEP,0.2418471490831368,0.6400083220027557
3,2019Q4,KO,PEP,0.2959623345402584,0.7544080640735102
4,2020Q1,KO,PEP,0.2312349682780232,0.7689427880301123
5,2020Q2,KO,PEP,0.4361131207682362,0.8166977113741566
6,2020Q3,KO,PEP,0.4552145013438654,0.6853624957862564
7,2020Q4,KO,PEP,0.2392857254030282,0.5622055670123165
8,2021Q1,KO,PEP,0.68595801738381,0.651809850947198
9,2021Q2,KO,PEP,0.685915719830237,0.6779136484838459
10,2021Q3,KO,PEP,0.6791649015666541,0.7284889550982091
11,2021Q4,KO,PEP,0.6841282869313504,0.7479064437001659
12,2022Q1,KO,PEP,0.6526423601069815,0.7080519847283278
13,2022Q2,KO,PEP,0.6871561533952971,0.8453413107515385
14,2022Q3,KO,PEP,0.6618623570849522,0.9034358757777248
15,2022Q4,KO,PEP,0.6671565987771652,0.8324750414305132
16,2023Q1,KO,PEP,0.704626871328532,0.807224849148965
17,2023Q2,KO,PEP,0.6573496146333545,0.7207594275390606
18,2023Q3,KO,PEP,0.6855280189178926,0.7063493511903589
19,2023Q4,KO,PEP,0.6556439677709389,0.8113904392938879
20,2024Q1,KO,PEP,0.6742218166945334,0.7273374644824543
21,2024Q2,KO,PEP,0.6734369352166673,0.5659012825559768
22,2024Q4,KO,PEP,0.6952441664587476,0.4218924510920245
23,2025Q1,KO,PEP,0.7156788817440161,0.6836054982986631
24,2025Q2,KO,PEP,0.6855024078708882,0.6976812392428806
25,2025Q3,KO,PEP,0.5768659489619653,0.5663389357132729
